contested,inside50s,oppHitouts,team,clangers,rebounds,score,oppRebounds,disposals,oppClangers,marksIn50,round,hitouts,kicks,oppMarksIn50,oppMarks,oppDisposals,oppBounces,oppScore,marks,oppClearances,clearances,bounces,oppOnePercenters,uncontested,matchId,frees,win,oppKicks,oppUncontested,contestedMarks,oppTackles,oppFrees,handballs,oppInside50s,home,oppContestedMarks,tackles,oppHandballs,oppContested,onePercenters
160,61,48,GE,64,30,116,46,349,48,16,1,56,196,6,70,360,3,86,71,39,51,3,42,196,,24,True,186,221,11,81,28,153,46,True,4,81,174,141,51
141,46,56,HW,48,42,86,61,360,64,6,1,48,186,16,71,349,3,116,70,51,39,3,51,221,,28,False,196,196,4,81,24,174,61,False,11,81,153,160,42
102,42,30,SK,54,44,36,58,356,38,13,2,28,187,12,122,482,7,93,96,29,29,6,25,257,,14,False,243,343,9,55,18,169,58,True,10,67,239,137,50
157,60,21,FR,48,30,100,50,334,47,9,2,59,186,14,80,327,24,126,63,31,44,4,45,182,,21,False,181,208,12,75,19,148,50,True,11,65,146,121,46
131,52,45,CW,50,31,87,50,346,58,10,2,23,191,19,104,393,5,86,84,37,24,4,47,209,,26,True,209,261,8,57,17,155,50,True,9,69,184,134,38
137,58,28,WB,38,35,93,42,482,54,12,2,30,243,13,96,356,6,36,122,29,29,7,50,343,,18,True,187,257,10,67,14,239,42,False,9,55,169,102,25
131,46,41,RI,53,38,92,57,332,39,12,1,33,191,18,105,376,4,83,79,34,38,2,43,196,,16,True,215,247,10,51,21,141,57,True,10,60,161,129,32
121,50,59,GC,47,38,126,60,327,48,14,2,21,181,9,63,334,4,100,80,44,31,24,46,208,,19,True,186,182,11,65,21,146,60,False,12,75,148,157,45
134,50,23,RI,58,37,86,52,393,50,19,2,45,209,10,84,346,4,87,104,24,37,5,38,261,,17,False,191,209,9,69,26,184,52,False,8,57,155,131,47
111,51,36,BL,44,25,83,49,296,40,12,2,32,167,18,67,354,2,117,76,38,28,3,29,183,,16,False,187,207,12,46,22,129,49,True,11,51,167,145,49
131,56,41,ES,53,27,80,41,444,52,14,2,21,243,9,68,316,7,67,139,32,27,4,25,313,,27,True,174,179,15,50,22,201,41,True,11,66,142,127,32
129,57,33,CA,39,28,83,46,376,53,18,1,41,215,12,79,332,2,92,105,38,34,4,32,247,,21,False,191,196,10,60,16,161,46,False,10,51,141,131,43
145,49,32,NM,40,31,117,51,354,44,18,2,36,187,12,76,296,3,83,67,28,38,2,49,207,,22,True,167,183,11,51,16,167,51,False,12,46,129,111,29
127,41,21,ME,52,39,67,56,316,53,9,2,41,174,14,139,444,4,80,68,27,32,7,32,179,,22,False,243,313,11,66,27,142,56,False,15,50,201,131,25
165,55,54,AD,52,49,144,70,412,62,17,2,49,234,6,44,324,9,86,109,43,45,10,68,247,,22,True,175,164,14,70,15,178,70,True,13,64,149,161,55
161,70,49,PA,62,26,86,55,324,52,6,2,54,175,17,109,412,10,144,44,45,43,9,55,164,,15,False,234,247,13,64,22,149,55,False,14,70,178,165,68
160,56,44,NM,43,38,107,57,361,47,11,1,47,214,8,75,342,7,97,91,45,42,11,57,203,,18,True,203,201,17,63,22,147,57,True,8,82,139,150,57
150,57,47,AD,47,39,97,56,342,43,8,1,44,203,11,91,361,11,107,75,42,45,7,57,201,,22,False,214,203,8,82,18,139,56,False,17,63,147,160,57
177,61,66,PA,42,38,133,58,381,60,13,1,49,217,12,70,428,2,100,64,61,44,9,62,202,,16,True,223,256,13,72,11,164,58,True,5,106,205,166,53
